year,dep_code,population,pet,pea,employed,unemployed,inactive
1995,73,1259895.3,774238.2,614181.4,544768.3,69413.1,158748.4
1995,76,4011389.9,2630802.1,1916107.4,1708933.8,207173.6,712210.7
1995,81,157379.0,105075.8,78228.3,67618.6,10609.7,26695.9
1995,85,260448.4,149132.8,112191.0,97027.2,15163.8,37049.2
1995,86,214955.4,139421.7,92567.7,79560.3,13007.5,46915.5
1995,88,61517.4,35936.7,23335.7,20635.3,2700.4,12596.4
1995,91,47942.0,31192.9,20215.2,17361.8,2853.5,10991.8
1995,94,18360.0,14534.6,9492.9,7917.9,1575.0,5056.6
1995,95,54680.0,35660.6,23407.7,20215.8,3191.9,12264.2
1995,97,16770.6,12727.7,8269.8,6886.0,1383.7,4472.7
1995,99,56930.1,39499.5,25788.2,21941.6,3846.6,13737.6
1996,5,4872336.5,3179024.3,2153669.5,1855444.9,298224.6,1029429.2
1996,8,1791364.6,1185706.5,750398.9,654761.9,95636.9,435722.7
1996,11,6297956.5,4171623.3,2717891.1,2369562.6,348328.5,1456609.4
1996,13,1606978.8,1028658.4,650675.9,582847.1,67828.8,378318.0
1996,15,1057526.6,703414.4,504123.8,458578.0,45545.9,200319.0
1996,17,949398.6,646359.9,391829.6,347500.2,44329.5,254896.4
1996,18,360377.8,212622.5,131797.6,116004.6,15792.9,81025.6
1996,19,1171345.9,748051.7,463514.1,403063.2,60450.9,284613.9
1996,20,738143.6,478512.9,325566.1,274405.2,51160.9,153692.0
1996,23,1401188.8,853306.4,620745.0,541252.0,79493.0,233905.4
1996,25,1088725.5,826086.8,676650.9,562878.5,113772.4,152317.4
1996,27,335465.8,197223.6,152714.8,130615.3,22099.4,45024.3
1996,41,845968.1,536472.2,388799.9,348699.9,40100.0,148707.6
1996,44,456770.8,245003.9,182567.4,150428.9,32138.5,62362.7
1996,47,919564.8,576924.4,379866.1,332111.1,47755.0,197471.2
1996,50,679102.3,457113.6,346144.9,300405.2,45739.6,112077.6
1996,52,1447578.0,907638.5,603440.1,520429.3,83010.8,303844.8
1996,54,1084419.5,747948.5,541079.8,467984.3,73095.5,208569.0
1996,63,480877.4,312514.5,213491.3,177450.3,36041.0,99567.5
1996,66,839637.3,544272.6,381983.5,330711.5,51272.0,163125.2
1996,68,1677251.8,1108097.8,833280.6,748825.3,84455.3,277249.2
1996,70,684298.8,429161.1,276106.9,240129.4,35977.5,153346.1
1996,73,1263771.6,783664.7,622907.1,541105.8,81801.4,163020.3
1996,76,4033996.8,2675120.8,1956053.4,1696003.4,260050.0,724850.1
1996,81,162744.0,106115.3,78777.7,66995.9,11781.8,27554.9
1996,85,267982.9,152098.5,114156.7,95664.6,18492.2,38177.9
1996,86,221121.4,141219.4,93548.5,78643.8,14904.7,47761.1
1996,88,61536.1,36163.3,23457.3,20492.8,2964.5,12726.8
1996,91,49289.9,31622.9,20474.1,17169.5,3304.6,11166.5
1996,94,19746.6,14861.0,9695.7,7788.3,1907.4,5174.4
1996,95,56124.9,36110.3,23675.7,20002.9,3672.7,12458.2
1996,97,17881.1,12989.9,8426.5,6776.6,1649.9,4569.6
1996,99,59337.2,40160.1,26192.8,21659.8,4533.0,13992.0
1997,5,4944334.2,3250739.3,2209423.5,1895686.7,313736.8,1044007.1
1997,8,1827548.4,1212018.8,772729.5,672629.9,100099.6,440876.0
1997,11,6355474.4,4230352.0,2763596.9,2406598.6,356998.3,1470309.3
1997,13,1629828.2,1047438.2,666524.2,595042.7,71481.5,382042.3
1997,15,1065825.8,711674.9,508847.9,462113.4,46734.4,203094.2
1997,17,952283.3,653523.7,397364.0,350897.4,46466.7,256808.2
1997,18,362619.4,216144.4,134629.6,117555.4,17074.2,81677.7
1997,19,1185298.4,761096.7,475035.5,412522.8,62512.7,286911.2
1997,20,760658.5,490972.7,334898.9,281399.9,53499.0,156693.6
1997,23,1419303.9,870861.6,633716.4,551093.0,82623.5,237435.1
1997,25,1173443.4,884899.8,724906.3,595002.1,129904.2,160442.0
1997,27,344904.4,200236.6,153738.3,132038.5,21699.8,46777.8
1997,41,857995.1,545651.2,394482.2,352403.9,42078.3,151437.9
1997,44,477411.2,255480.5,191933.8,159778.7,32155.1,63971.5
1997,47,940146.0,589643.7,389982.9,340385.6,49597.3,200427.6
1997,50,695721.4,469766.0,355431.3,306309.7,49121.5,114362.0
1997,52,1456583.0,918524.8,613913.9,532847.8,81066.1,305252.1
1997,54,1105586.2,764118.6,552227.1,474490.2,77736.9,212088.9
1997,63,483770.6,317405.4,216711.5,179725.3,36986.2,100911.1
1997,66,844504.5,551694.4,386640.9,334379.4,52261.5,165361.9
1997,68,1701716.0,1132619.4,850151.6,759267.2,90884.4,282578.7
1997,70,695228.5,437788.6,283113.9,245522.7,37591.1,155168.4
1997,73,1267485.4,792705.5,625963.3,542889.5,83073.8,166515.4
1997,76,4055655.7,2711295.0,1977220.0,1707424.8,269795.2,733845.4
1997,81,167884.1,107772.3,79605.4,67899.3,11706.1,28287.1
1997,85,275201.4,156846.7,117858.5,98855.7,19002.8,39128.7
1997,86,227028.8,143630.4,95435.1,80450.7,14984.4,48365.4
1997,88,61554.0,36281.8,23510.1,20577.6,2932.6,12790.7
1997,91,50581.2,32123.9,20874.7,17539.3,3335.4,11285.4
1997,94,21075.0,15317.6,10078.6,8123.2,1955.4,5266.5
1997,95,57509.3,36630.7,24078.2,20380.0,3698.3,12589.8
1997,97,18945.0,13359.2,8737.5,7055.0,1682.4,4644.9
1997,99,61643.5,40998.7,26877.0,22273.5,4603.6,14175.6
1998,5,5023043.0,3324819.9,2254497.0,1868699.3,385797.6,1073558.3
1998,8,1867105.0,1230682.9,782190.0,660441.9,121748.1,450748.6
1998,11,6418353.7,4286142.1,2796789.9,2382568.8,414221.1,1494183.9
1998,13,1654807.4,1062174.0,675116.1,586889.6,88226.5,388673.4
1998,15,1074898.5,723580.7,514479.2,460105.7,54373.5,208680.4
1998,17,955436.9,664420.2,405551.2,348853.3,56697.8,259728.3
1998,18,365070.0,221191.0,138771.2,116570.4,22200.8,82721.7
1998,19,1200551.3,769176.1,480170.8,406137.9,74032.9,290593.0
1998,20,785272.0,504406.4,341590.0,276649.7,64940.2,163242.2
1998,23,1439107.5,888057.7,643567.0,544599.4,98967.7,244712.3
1998,25,1266058.0,938038.4,758856.4,572332.8,186523.6,180269.2
1998,27,355222.8,205158.9,153790.1,131167.9,22622.2,50961.0
1998,41,871143.1,559283.3,401598.2,350137.1,51461.2,157319.0
1998,44,499975.6,255281.3,188364.9,153164.4,35200.5,67643.4
1998,47,962645.7,599867.8,394081.1,334775.2,59305.9,206510.0
1998,50,713889.6,484863.5,365418.1,302384.5,63033.6,119381.4
1998,52,1466427.4,912330.1,607719.2,524453.8,83265.3,306476.2
1998,54,1128725.8,787762.5,568124.2,470331.6,97792.7,219544.1
1998,63,486933.4,324768.3,221333.7,178289.4,43044.3,103596.7
1998,66,849825.5,561810.1,391981.8,332116.4,59865.4,169851.0
1998,68,1728460.6,1164596.5,869689.1,752591.6,117097.5,294170.1
